ID,x/q公式,变量映射,变量范围,公式名字
16,y = 2·q1/x1,"x1=R
x2=θ
x3=ρ
x4=r
q1=γ","x1: [1, 10]
x2: [0, 10]
x3: [0, 10]
x4: [0, 10]
q1: [0, 1]",拉普拉斯压差 / 毛细上升(1)
17,y = 2·q1·cos(x2)/(x3·9.80665·x4),"x1=R
x2=θ
x3=ρ
x4=r
q1=γ","x1: [0, 10]
x2: [0, 10]
x3: [1, 10]
x4: [1, 10]
q1: [0, 1]",拉普拉斯压差 / 毛细上升(2)
18,y = (6.62607·x1 - q1)/1.602,"x1=ν
q1=Φ","x1: [0, 10]
q1: [0, 10]",光电效应方程
19,y = x1·x2·q1/x3,"x1=E
x2=ε
x3=η
q1=ζ","x1: [-10, 10]
x2: [0, 10]
x3: [1, 10]
q1: [-1, 1]",电泳迁移率（ζ 电位，单式化）
20,y = 6.28319·x1^3·x2·((q1 - x5)/(q1 + 2·x5))·x4,"x1=a
x2=ε_m
x4=gradE2
x5=ε_m_ref
q1=ε_p","x1: [0, 10]
x2: [0, 10]
x4: [0, 10]
x5: [1, 10]
q1: [0.1, 100]",介电泳力（DEP，Clausius-Mossotti 单式化）
21,y = q1·exp( (x1 - q2)/q3 ),"x1=V
q1=I_e,s
q2=Vf
q3=Te","x1: [0, 10]
q1: [0, 10]
q2: [0, 10]
q3: [0, 1000]",朗缪尔探针 I-V 拟合避免数据爆炸系数修改为1
22,y = sqrt( 2.97046·q1·x1/(x2·x3) ),"x1=D_ls
x2=D_l
x3=D_s
q1=M","x1: [0, 10]
x2: [1, 10]
x3: [1, 10]
q1: [1.00e-10, 1.00e+5]",引力透镜爱因斯坦角
25,y = (0.392699·x2^4/(q1·x3))·x4,"x1=γ̇
x2=R
x3=L
x4=ΔP
q1=η","x1: [0, 10]
x2: [0, 10]
x3: [1, 10]
x4: [0, 10]
q1: [1.00e-6, 1.00e+3]",牛顿粘性定律 / 泊肃叶定律(2)
28,y = 5.67037e-8·q1·x1^4,"x1=T
q1=ε","x1: [0, 10]
q1: [0, 1]",斯特藩–玻尔兹曼定律
30,y = q1·x2,"x1=S
x2=B
q1=γ","x1: [0, 10]
x2: [0, 10]
q1: [-1.00e+3, 1.00e+3]",磁矩与拉莫尔频率(2)
31,y = 1.60218·x1 / q1,"x1=B
q1=m*","x1: [0, 10]
q1: [1.00, 1.00e+4]",回旋频率（回旋共振）
32,y = 12.56637·q1^2/(1 + (q1·x1)^2),"x1=k
q1=a_s","x1: [1, 10]
q1: [-10, 10]",s 波散射截面（含波数修正）
33,y = 3.87405e-5·q1·x1/(x1 + q2),"x1=B_scaled
q1=C
q2=Γ","x1: [1, 10]
q1: [-10, 10]
q2: [0.1, 10]",量子霍尔电导（平台展宽简化式）
34,y = q1·x1·x2,"x1=Φ
x2=N
q1=σ(散射截面)","x1: [0, 10]
x2: [0, 10]
q1: [0, 1.00e-3]",计数率与散射截面 (R=σΦN)
35,y = 8.31446·x1/(x2 - q2) - q1/x2^2,"x1=T
x2=v
q1=a
q2=b","x1: [0, 10]
x2: [1, 10]
q1: [0, 10]
q2: [0, 0.01]",范德瓦尔斯状态方程
36,y = q1·x1/(q2 + x1),"x1=[S]
q1=Vmax
q2=Km","x1: [1, 10]
q1: [0, 1000]
q2: [1.00e-6, 1000]",Michaelis–Menten 动力学
37,y = q1·(q2·x1)/(1 + q2·x1),"x1=C
q1=qmax
q2=K","x1: [1, 10]
q1: [0, 1.00e+6]
q2: [0, 1.00e+6]",Langmuir 吸附等温线（单层）
38,y = q1/(1 + (x1·q2)^2),"x1=ω
q1=σ0
q2=τ","x1: [1, 10]
q1: [0, 1.00e+8]
q2: [1.00e-18, 1.00e-6]",Drude 模型（交流电导率实部）
39,y = q1 + q2/(1 + (x1·q3)^2),"x1=ω
q1=ε∞
q2=Δε
q3=τ","x1: [1, 10]
q1: [1, 100]
q2: [0, 10000]
q3: [1.00e-12, 0.001]",Debye 介电弛豫（ε′(ω)）
40,y = q1·(x1·q2)^2 / (q1^2 + (x1·q2)^2),"x1=ω
q1=G
q2=η","x1: [1, 10]
q1: [1, 1.00e+9]
q2: [0.001, 1.00e+6]",Maxwell 黏弹模型（储能模量 G′）
41,y = q1·(exp((q2·x3·1·x1)/(8.31446·x2)) - exp((-(1-q2)·x3·1·x1)/(8.31446·x2))),"x1=η_over
x2=T
x3=z
q1=j0
q2=α","x1: [-10, 10]
x2: [1, 10]
x3: [0, 10]
q1: [0, 1.00e+6]
q2: [0, 1]",Butler–Volmer 电化学动力学，避免数据过大，96485.33212调整为1
42,y = 1.33333·(q1/(1 - q2^2))·sqrt(x2)·x1^(3/2),"x1=δ
x2=R
q1=E
q2=ν","x1: [0, 10]
x2: [0, 10]
q1: [1000, 1.00e+3]
q2: [0, 0.49]",Hertz 接触压入力-位移关系
45,y = q1·x1^q3/(q2^q3 + x1^q3),"x1=S
q1=Vmax
q2=K_half
q3=n","x1: [1, 10]
q1: [0, 100]
q2: [0.1, 10]
q3: [0.5, 4]",Hill 饱和响应模型
46,y = q1·q3·x1/((q2 - x1)·(1 + (q3 - 1)·x1/q2)),"x1=P_rel_scaled
q1=q_m
q2=P0_scaled
q3=C_BET","x1: [1, 10]
q1: [0, 100]
q2: [11, 100]
q3: [1, 100]",BET 多层吸附等温式
47,y = q1·x1^(1/q2),"x1=C
q1=K_F
q2=n","x1: [0, 10]
q1: [0, 100]
q2: [1, 10]",Freundlich 吸附等温式
48,y = x2 + (q1 - x2)·exp(-q2·x1),"x1=t
x2=T_env
q1=T0
q2=k","x1: [0, 10]
x2: [0, 10]
q1: [-10, 100]
q2: [0.001, 10]",牛顿冷却定律
49,y = q1/(1 + q2·exp(-q3·x1)),"x1=t
q1=K
q2=A
q3=r","x1: [1, 10]
q1: [0, 100]
q2: [0.001, 100]
q3: [0.001, 10]",Logistic 生长曲线
50,y = q1·exp(-q2·exp(-q3·x1)),"x1=t
q1=A
q2=B
q3=C","x1: [0, 10]
q1: [0, 100]
q2: [0.001, 100]
q3: [0.001, 10]",Gompertz 生长曲线
51,y = q1 - q2·sqrt(x1) - q3·x1,"x1=N_cycle
q1=Q0
q2=k_sqrt
q3=k_lin","x1: [0, 10]
q1: [0, 10]
q2: [0, 10]
q3: [0, 10]",电池容量衰减（平方根+线性项）
52,y = q1·x1^q2,"x1=ΔK
q1=C
q2=m","x1: [0, 10]
q1: [1.00e-12, 1]
q2: [1, 6]",Paris 裂纹扩展定律
54,y = q1 + q2·log(x1 + 1),"x1=current_density
q1=a
q2=b","x1: [0, 10]
q1: [-10, 10]
q2: [-10, 10]",Tafel 极化关系（对数形式）
55,y = q1 + 0.025693·x2·log(x1 + 1),"x1=activity_ratio
x2=charge_factor
q1=E0","x1: [0, 10]
x2: [0, 10]
q1: [-10, 10]",Nernst 电极电势（简化式）
56,y = q1·(x1 + 273.15)^1.5/(x1 + q2),"x1=T_C
q1=C
q2=S","x1: [1, 10]
q1: [1.00e-8, 1]
q2: [20, 1000]",Sutherland 气体黏度公式
