ID,x/q公式,变量映射,变量范围,公式名字
11,y = -q1·x1,"x1=∇T
x2=m
x3=ΔT
q1=κ
q2=cp","x1: [-10, 10]
x2: [0, 10]
x3: [-10, 10]
q1: [0, 3000]
q2: [0, 10000]",傅里叶定律 / 热量方程(1)
12,y = x2·q2·x3,"x1=∇T
x2=m
x3=ΔT
q1=κ
q2=cp","x1: [-10, 10]
x2: [0, 10]
x3: [-10, 10]
q1: [0, 3000]
q2: [0, 10000]",傅里叶定律 / 热量方程(2)
13,y = 1.60218·x1·q1,"x1=n
q1=μ","x1: [0, 10]
q1: [0, 10]",电导率关系 (σ=nqμ)
14,y = 2·x1·q1·x2,"x1=d
x2=t
q1=D","x1: [0, 10]
x2: [0, 10]
q1: [0, 0.001]",爱因斯坦扩散关系
15,y = q1·exp(-q2 / (8.31446·x1)),"x1=T
q1=k0
q2=Ea","x1: [0, 10]
q1: [1.00e-6, 1.00e+6]
q2: [0, 500000]",阿伦尼乌斯方程
16,y = 2·q1/x1,"x1=R
x2=θ
x3=ρ
x4=r
q1=γ","x1: [0, 10]
x2: [0, 10]
x3: [0, 10]
x4: [0, 10]
q1: [0, 1]",拉普拉斯压差 / 毛细上升(1)
17,y = 2·q1·cos(x2)/(x3·9.80665·x4),"x1=R
x2=θ
x3=ρ
x4=r
q1=γ","x1: [0, 10]
x2: [0, 10]
x3: [0, 10]
x4: [0, 10]
q1: [0, 1]",拉普拉斯压差 / 毛细上升(2)
18,y = (6.62607·x1 - q1)/1.602,"x1=ν
q1=Φ","x1: [0, 10]
q1: [0, 10]",光电效应方程
19,y = q1·x1，且 q1 = x2·q2/x3,"x1=E
x2=ε
x3=η
q1=μe
q2=ζ","x1: [-10, 10]
x2: [0, 10]
x3: [0, 10]
q1: [-1.00, 1.00]
q2: [-0.5, 0.5]",电泳迁移率（ζ 电位）
20,y = 6.28319·x1^3·x2·Re[q1]·x4，且 q1 = (q2 - x5)/(q2 + 2·x5),"x1=r
x2=εm
x3=ω
x4=∇|E|^2
x5=εm*
q1=K(ω)
q2=εp*","x1: [0, 10]
x2: [0, 10]
x3: [0, 10]
x4: [0, 10]
x5: [0, 10]
q1: [-2, 2]
q2: [1.00, 10.00]",介电泳力（DEP）
21,y = q1·exp( (x1 - q2)/q3 ),"x1=V
q1=I_e,s
q2=Vf
q3=Te","x1: [0, 10]
q1: [0, 10]
q2: [0, 10]
q3: [0, 1000]",朗缪尔探针 I-V 拟合避免数据爆炸系数修改为1
22,y = sqrt( 2.97046·q1·x1/(x2·x3) ),"x1=D_ls
x2=D_l
x3=D_s
q1=M","x1: [0, 10]
x2: [0, 10]
x3: [0, 10]
q1: [1.00e-10, 1.00e+5]",引力透镜爱因斯坦角
23,y = q1·x1,"x1=N
q1=μf","x1: [0, 10]
q1: [0, 2]",库仑摩擦定律
24,y = q1·x1,"x1=γ̇
x2=R
x3=L
x4=ΔP
q1=η","x1: [0, 10]
x2: [0, 10]
x3: [0, 10]
x4: [0, 10]
q1: [1.00e-6, 1.00e+3]",牛顿粘性定律 / 泊肃叶定律(1)
25,y = (0.392699·x2^4/(q1·x3))·x4,"x1=γ̇
x2=R
x3=L
x4=ΔP
q1=η","x1: [0, 10]
x2: [0, 10]
x3: [0, 10]
x4: [0, 10]
q1: [1.00e-6, 1.00e+3]",牛顿粘性定律 / 泊肃叶定律(2)
26,y = 2·q1/x1,"x1=R
x2=θ
x3=ρ
x4=r
q1=γ","x1: [0, 10]
x2: [0, 10]
x3: [0, 10]
x4: [0, 10]
q1: [0, 1]",拉普拉斯压差 / 毛细上升(1)
27,y = 2·q1·cos(x2)/(x3·9.80665·x4),"x1=R
x2=θ
x3=ρ
x4=r
q1=γ","x1: [0, 10]
x2: [0, 10]
x3: [0, 10]
x4: [0, 10]
q1: [0, 1]",拉普拉斯压差 / 毛细上升(2)
28,y = 5.67037e-8·q1·x1^4,"x1=T
q1=ε","x1: [0, 10]
q1: [0, 1]",斯特藩–玻尔兹曼定律
29,y = q1·x1,"x1=S
x2=B
q1=γ","x1: [0, 10]
x2: [0, 10]
q1: [-1.00e+3, 1.00e+3]",磁矩与拉莫尔频率(1)
30,y = q1·x2,"x1=S
x2=B
q1=γ","x1: [0, 10]
x2: [0, 10]
q1: [-1.00e+3, 1.00e+3]",磁矩与拉莫尔频率(2)
31,y = 1.60218·x1 / q1,"x1=B
q1=m*","x1: [0, 10]
q1: [1.00, 1.00e+4]",回旋频率（回旋共振）
32,y = 12.56637·q1^2,q1=a_s,"q1: [-1.00e-6, 1.00e-6]",s 波散射截面（低能近似）
33,y = 3.87405e-5·q1,q1=C,"q1: [-20, 20]",量子霍尔电导（Chern 数）
34,y = q1·x1·x2,"x1=Φ
x2=N
q1=σ(散射截面)","x1: [0, 10]
x2: [0, 10]
q1: [0, 1.00e-3]",计数率与散射截面 (R=σΦN)
35,y = 8.31446·x1/(x2 - q2) - q1/x2^2,"x1=T
x2=v
q1=a
q2=b","x1: [0, 10]
x2: [0, 10]
q1: [0, 10]
q2: [0, 0.01]",范德瓦尔斯状态方程
36,y = q1·x1/(q2 + x1),"x1=[S]
q1=Vmax
q2=Km","x1: [0, 10]
q1: [0, 1000]
q2: [1.00e-6, 1000]",Michaelis–Menten 动力学
37,y = q1·(q2·x1)/(1 + q2·x1),"x1=C
q1=qmax
q2=K","x1: [0, 10]
q1: [0, 1.00e+6]
q2: [0, 1.00e+6]",Langmuir 吸附等温线（单层）
38,y = q1/(1 + (x1·q2)^2),"x1=ω
q1=σ0
q2=τ","x1: [0, 10]
q1: [0, 1.00e+8]
q2: [1.00e-18, 1.00e-6]",Drude 模型（交流电导率实部）
39,y = q1 + q2/(1 + (x1·q3)^2),"x1=ω
q1=ε∞
q2=Δε
q3=τ","x1: [0, 10]
q1: [1, 100]
q2: [0, 10000]
q3: [1.00e-12, 0.001]",Debye 介电弛豫（ε′(ω)）
40,y = q1·(x1·q2)^2 / (q1^2 + (x1·q2)^2),"x1=ω
q1=G
q2=η","x1: [0, 10]
q1: [1, 1.00e+9]
q2: [0.001, 1.00e+6]",Maxwell 黏弹模型（储能模量 G′）
41,y = q1·(exp((q2·x3·1·x1)/(8.31446·x2)) - exp((-(1-q2)·x3·1·x1)/(8.31446·x2))),"x1=η_over
x2=T
x3=z
q1=j0
q2=α","x1: [-10, 10]
x2: [0, 10]
x3: [0, 10]
q1: [0, 1.00e+6]
q2: [0, 1]",Butler–Volmer 电化学动力学，避免数据过大，96485.33212调整为1
42,y = 1.33333·(q1/(1 - q2^2))·sqrt(x2)·x1^(3/2),"x1=δ
x2=R
q1=E
q2=ν","x1: [0, 10]
x2: [0, 10]
q1: [1000, 1.00e+3]
q2: [0, 0.49]",Hertz 接触压入力-位移关系
